Ecotone Unit: Level Logger
Serial Number: 000013151FF7
Probe Number: 000013151FF7
Log Read: 2/25/2024 11:58:00
 
____Date___ ,Time ,_Level_,Units
05/07/2012,07:00,-004.1,in      
05/07/2012,08:00,-004.1,in      
05/07/2012,09:00,-004.1,in      
05/07/2012,10:00,-004.2,in      
05/07/2012,11:00,-004.3,in      
05/07/2012,12:00,-004.3,in      
05/07/2012,13:00,-004.3,in      
05/07/2012,14:00,-004.0,in      
05/07/2012,15:00,-004.1,in      
05/07/2012,16:00,-004.1,in      
05/07/2012,17:00,-004.3,in      
05/07/2012,18:00,-004.3,in      
05/07/2012,19:00,-004.3,in      
05/07/2012,20:00,-004.3,in      
05/07/2012,21:00,-004.3,in      
05/07/2012,22:00,-004.3,in      
05/07/2012,23:00,-004.3,in      
05/08/2012,00:00,-004.3,in      
05/08/2012,01:00,-004.4,in      
05/08/2012,02:00,-004.4,in      
05/08/2012,03:00,-004.5,in      
05/08/2012,04:00,-004.4,in      
05/08/2012,05:00,-002.4,in      
05/08/2012,06:00,-003.3,in      
05/08/2012,07:00,-004.5,in      
05/08/2012,08:00,-004.6,in      
05/08/2012,09:00,-004.3,in      
05/08/2012,10:00,-004.4,in      
05/08/2012,11:00,-004.4,in      
05/08/2012,12:00,-004.4,in      
05/08/2012,13:00,-004.4,in      
05/08/2012,14:00,-004.5,in      
05/08/2012,15:00,-004.6,in      
05/08/2012,16:00,-004.6,in      
05/08/2012,17:00,-004.7,in      
05/08/2012,18:00,-004.8,in      
05/08/2012,19:00,-004.8,in      
05/08/2012,20:00,-004.8,in      
05/08/2012,21:00,-004.7,in      
05/08/2012,22:00,-004.8,in      
05/08/2012,23:00,-004.8,in      
05/09/2012,00:00,-004.8,in      
05/09/2012,01:00,-004.8,in      
05/09/2012,02:00,-004.8,in      
05/09/2012,03:00,-004.8,in      
05/09/2012,04:00,-004.8,in      
05/09/2012,05:00,-004.8,in      
05/09/2012,06:00,-004.8,in      
05/09/2012,07:00,-004.8,in      
05/09/2012,08:00,-004.7,in      
05/09/2012,09:00,-004.0,in      
05/09/2012,10:00,-004.2,in      
05/09/2012,11:00,-004.3,in      
05/09/2012,12:00,-004.3,in      
05/09/2012,13:00,-004.3,in      
05/09/2012,14:00,-004.3,in      
05/09/2012,15:00,-004.4,in      
05/09/2012,16:00,-004.4,in      
05/09/2012,17:00,-004.7,in      
05/09/2012,18:00,-004.8,in      
05/09/2012,19:00,-004.8,in      
05/09/2012,20:00,-004.8,in      
05/09/2012,21:00,-004.8,in      
05/09/2012,22:00,-004.8,in      
05/09/2012,23:00,-004.8,in      
05/10/2012,00:00,-004.8,in      
05/10/2012,01:00,-004.8,in      
05/10/2012,02:00,-004.8,in      
05/10/2012,03:00,-004.8,in      
05/10/2012,04:00,-004.8,in      
05/10/2012,05:00,-004.8,in      
05/10/2012,06:00,-004.7,in      
05/10/2012,07:00,-004.6,in      
05/10/2012,08:00,-004.2,in      
05/10/2012,09:00,-004.0,in      
05/10/2012,10:00,-004.2,in      
05/10/2012,11:00,-004.3,in      
05/10/2012,12:00,-004.4,in      
05/10/2012,13:00,-004.5,in      
05/10/2012,14:00,-004.5,in      
05/10/2012,15:00,-004.5,in      
05/10/2012,16:00,-004.5,in      
05/10/2012,17:00,-004.6,in      
05/10/2012,18:00,-004.7,in      
05/10/2012,19:00,-004.7,in      
05/10/2012,20:00,-004.7,in      
05/10/2012,21:00,-004.6,in      
05/10/2012,22:00,-004.6,in      
05/10/2012,23:00,-004.7,in      
05/11/2012,00:00,-004.6,in      
05/11/2012,01:00,-004.6,in      
05/11/2012,02:00,-004.6,in      
05/11/2012,03:00,-004.6,in      
05/11/2012,04:00,-004.6,in      
05/11/2012,05:00,-004.6,in      
05/11/2012,06:00,-004.6,in      
05/11/2012,07:00,-004.2,in      
05/11/2012,08:00,-004.0,in      
05/11/2012,09:00,-004.1,in      
05/11/2012,10:00,-004.4,in      
05/11/2012,11:00,-004.5,in      
05/11/2012,12:00,-004.5,in      
05/11/2012,13:00,-004.6,in      
05/11/2012,14:00,-004.6,in      
05/11/2012,15:00,-004.6,in      
05/11/2012,16:00,-004.7,in      
05/11/2012,17:00,-004.6,in      
05/11/2012,18:00,-004.6,in      
05/11/2012,19:00,-004.5,in      
05/11/2012,20:00,-004.5,in      
05/11/2012,21:00,-004.4,in      
05/11/2012,22:00,-004.4,in      
05/11/2012,23:00,-004.3,in      
05/12/2012,00:00,-004.3,in      
05/12/2012,01:00,-004.3,in      
05/12/2012,02:00,-004.3,in      
05/12/2012,03:00,-004.2,in      
05/12/2012,04:00,-004.2,in      
05/12/2012,05:00,-004.2,in      
05/12/2012,06:00,-004.0,in      
05/12/2012,07:00,-004.0,in      
05/12/2012,08:00,-003.9,in      
05/12/2012,09:00,-004.0,in      
05/12/2012,10:00,-004.2,in      
05/12/2012,11:00,-004.3,in      
05/12/2012,12:00,-004.4,in      
05/12/2012,13:00,-004.4,in      
05/12/2012,14:00,-004.4,in      
05/12/2012,15:00,-004.4,in      
05/12/2012,16:00,-004.5,in      
05/12/2012,17:00,-004.4,in      
05/12/2012,18:00,-004.4,in      
05/12/2012,19:00,-004.4,in      
05/12/2012,20:00,-004.4,in      
05/12/2012,21:00,-004.3,in      
05/12/2012,22:00,-004.3,in      
05/12/2012,23:00,-004.4,in      
05/13/2012,00:00,-004.3,in      
05/13/2012,01:00,-004.3,in      
05/13/2012,02:00,-004.2,in      
05/13/2012,03:00,-004.1,in      
05/13/2012,04:00,-004.1,in      
05/13/2012,05:00,-004.0,in      
05/13/2012,06:00,-004.0,in      
05/13/2012,07:00,-004.0,in      
05/13/2012,08:00,-004.1,in      
05/13/2012,09:00,-004.2,in      
05/13/2012,10:00,-004.3,in      
05/13/2012,11:00,-004.4,in      
05/13/2012,12:00,-004.4,in      
05/13/2012,13:00,-004.4,in      
05/13/2012,14:00,-004.4,in      
05/13/2012,15:00,-004.4,in      
05/13/2012,16:00,-004.4,in      
05/13/2012,17:00,-004.4,in      
05/13/2012,18:00,-004.5,in      
05/13/2012,19:00,-004.6,in      
05/13/2012,20:00,-004.3,in      
05/13/2012,21:00,-004.3,in      
05/13/2012,22:00,-004.2,in      
05/13/2012,23:00,-004.3,in      
05/14/2012,00:00,-004.3,in      
05/14/2012,01:00,-004.3,in      
05/14/2012,02:00,-004.3,in      
05/14/2012,03:00,-004.3,in      
05/14/2012,04:00,-004.3,in      
05/14/2012,05:00,-004.2,in      
05/14/2012,06:00,-004.0,in      
05/14/2012,07:00,-004.0,in      
05/14/2012,08:00,-004.0,in      
05/14/2012,09:00,-004.0,in      
05/14/2012,10:00,-004.0,in      
05/14/2012,11:00,-004.1,in      
05/14/2012,12:00,-004.3,in      
05/14/2012,13:00,-004.4,in      
05/14/2012,14:00,-004.4,in      
05/14/2012,15:00,-004.4,in      
05/14/2012,16:00,-004.4,in      
05/14/2012,17:00,-004.4,in      
05/14/2012,18:00,-004.5,in      
05/14/2012,19:00,-004.5,in      
05/14/2012,20:00,-004.6,in      
05/14/2012,21:00,-004.6,in      
