Site,Latitude,Longitude
Site 1,24.0195,-110.096
Site 2,27.52944,-113.31609
Site 3,27.2028,-112.408
Site 4,25.60521,-111.32638
Site 5,28.22308,-113.18263
Site 6,25.91409,-112.08062
Site 7,26.0155,-111.35475
Site 8,25.55757,-111.21563
Site 9,28.40846,-112.86985
Site 10,26.63783,-109.327
Site 11,29.32541,-114.29353
Site 12,26.94589,-112.04613
Site 13,27.40498,-112.52959
Site 14,24.21441,-110.27252
Site 15,25.34819,-111.60056
Site 16,27.18232,-112.66552
Site 17,25.0247,-111.675
Site 18,24.00789,-109.85071
Site 19,24.58843,-110.74599
Site 20,28.72796,-113.48973
Site 21,26.20876,-111.37833
Site 22,23.2855,-110.10429
Site 23,24.2115,-110.951
Site 24,24.87611,-110.69175
Site 25,27.0367,-112.986
Site 26,28.03661,-113.39991
Site 27,24.13389,-110.46236
Site 28,29.01457,-113.94486
Site 29,27.3632,-112.964
Site 30,28.66056,-113.99141
Site 31,28.96651,-113.66787
