Site,Plant,Sex,Individual,PhenotypeA,PhenotypeB
Site 1,1,Male,1,2.2728446997799217,1.8447231398507364
Site 1,1,Male,2,2.4502023612416433,1.3658309276840184
Site 1,1,Male,3,1.3356992271162045,2.1103422742856313
Site 1,1,Female,4,1.9149920864304242,1.4112561935610473
Site 1,1,Male,5,2.280709750464562,1.8872363358859303
Site 1,1,Male,6,2.549285528534167,1.5566195584133926
Site 1,1,Female,7,2.0561714351292526,2.3130344796496707
Site 1,1,Male,8,1.8364941221495583,0.7270824798969524
Site 1,1,Female,9,2.075020360310156,1.5015029308166206
Site 1,1,Male,10,1.6325444328314318,2.584329758349416
Site 1,1,Female,11,1.1624969832608716,2.320516935224789
Site 1,1,Male,12,1.877316548136602,1.9946784472143604
Site 1,1,Female,13,1.9757176520578967,1.313558702151688
Site 1,1,Female,14,1.357268328763496,1.11063302742467
Site 1,1,Male,15,2.2283902558063007,1.7796999408616887
Site 1,1,Male,16,2.3637986550460934,2.0631979725950282
Site 1,1,Female,17,2.074266385019127,2.52393975852545
Site 1,1,Male,18,1.751727547215905,1.6927188996157985
Site 1,1,Female,19,1.347825825289428,1.788315473660713
Site 1,1,Female,20,1.539289993317996,1.8838370673085174
Site 1,2,Female,1,2.3709604150394816,1.8226783633139094
Site 1,2,Female,2,1.8503451626194691,2.052369615783133
Site 1,2,Male,3,2.073733179643872,2.070922572289971
Site 1,2,Male,4,1.9293288547736727,0.9932850140098177
Site 1,2,Female,5,2.250208526240598,1.2682361252516314
Site 1,2,Male,6,1.5424112512756556,1.6008113578320384
Site 1,2,Male,7,1.3024665822456134,2.375359215159207
Site 1,2,Female,8,1.8590552130372378,2.3582668026923312
Site 1,2,Female,9,1.3120059993881465,1.6235774337933635
Site 1,2,Female,10,1.3159924403295584,1.7843175263198074
Site 1,2,Female,11,1.8396136692917184,2.5164750910504683
Site 1,2,Female,12,2.2739952179945355,2.1666722342101115
Site 1,2,Female,13,2.4813561876114907,1.760392925083916
Site 1,2,Female,14,2.4250487033455648,1.8328969165107887
Site 1,2,Male,15,1.097261895308539,1.4439534777030931
Site 1,2,Female,16,1.8664175752928605,2.482030037060964
Site 1,2,Female,17,1.9721015186250819,1.912120508185815
Site 1,2,Male,18,2.3489931172029204,1.8250156426608475
Site 1,2,Male,19,1.7624107868372376,1.6755017163076347
Site 1,2,Female,20,1.9123736314415918,1.9092261374862252
Site 1,3,Male,1,1.3499232212792838,1.6896715849971105
Site 1,3,Female,2,2.4734778425653543,0.9106091878582578
Site 1,3,Female,3,1.5172028205200625,2.2100313662188396
Site 1,3,Female,4,2.380601381299342,2.2356739362458122
Site 1,3,Male,5,1.958280273932053,1.2962753070827837
Site 1,3,Male,6,2.1318892207975195,2.2446410234367877
Site 1,3,Female,7,1.7511075090463974,2.035054378223016
Site 1,3,Female,8,1.8753892386698137,1.8411102321459498
Site 1,3,Male,9,2.0800229705352864,1.567634595743392
Site 1,3,Female,10,1.8827621066307176,2.6273142465398425
Site 1,3,Female,11,1.6719224434083133,1.5321057827660505
Site 1,3,Female,12,1.6907963123567658,2.241916531615825
Site 1,3,Female,13,2.1375945824857867,1.6530414432977485
Site 1,3,Male,14,2.179095447085498,0.7085274708845417
Site 1,3,Male,15,1.1599502001849282,2.088206563734472
Site 1,3,Male,16,1.9930312680783548,1.8533784662597512
Site 1,3,Female,17,1.673226130109571,2.0048151052710796
Site 1,3,Female,18,1.9670492538920032,1.5903467140559002
Site 1,3,Female,19,2.270723380624071,1.4658585434224798
Site 1,3,Male,20,1.473178009353267,1.7132356549594194
Site 1,4,Male,1,2.3355079403673367,2.023953776077377
Site 1,4,Male,2,1.564474459436255,0.9134862216554125
Site 1,4,Male,3,1.3305636550352518,1.073031657679472
Site 1,4,Male,4,2.163642128024242,1.3709422922694978
Site 1,4,Female,5,2.291307272791461,2.6120795529176286
Site 1,4,Male,6,1.8008195658619268,1.8997755083702974
Site 1,4,Female,7,1.4234671084243968,1.9320852949161482
Site 1,4,Female,8,1.2066483428644066,0.9333127205778993
Site 1,4,Male,9,1.4379892643328316,1.9502767583700265
Site 1,4,Male,10,2.0320162462369757,2.291745365391811
Site 1,4,Female,11,1.4390506111780637,1.1101692910998586
Site 1,4,Male,12,1.3384112408885136,1.2278830169554613
Site 1,4,Male,13,2.4796380272136407,2.240932160042612
Site 1,4,Female,14,1.9435909654115684,1.8495730454863288
Site 1,4,Male,15,1.6151034737899723,2.4670045480339167
Site 1,4,Male,16,2.0570192528025237,1.9163978610284222
Site 1,4,Female,17,1.8667833477004283,1.7829629702784722
Site 1,4,Male,18,2.2156110542343823,1.6865775115849846
Site 1,4,Female,19,2.0551308172766376,1.2562559023821844
Site 1,4,Male,20,2.212500934303942,1.3355718151049563
Site 1,5,Male,1,1.6860512291722614,1.5317454775206925
Site 1,5,Female,2,2.362444607889675,1.4949566370297487
Site 1,5,Female,3,2.508088315542011,2.107045151939773
Site 1,5,Female,4,2.0022691773640013,2.1897448246033635
Site 1,5,Female,5,2.127015060540104,2.4150169154186294
Site 1,5,Female,6,1.8833785208637497,2.039131381607657
Site 1,5,Female,7,1.5461762950711946,1.949311738029504
Site 1,5,Female,8,1.48086741916769,0.9469701618950789
Site 1,5,Male,9,2.5939730656196485,1.958838984020465
Site 1,5,Male,10,1.8236742353511914,1.103777009131007
Site 1,5,Female,11,1.616730388694931,1.6319767143832007
Site 1,5,Male,12,1.4872370982862086,2.4370860778405197
Site 1,5,Female,13,1.6061296090214963,1.974472582803775
Site 1,5,Male,14,1.4852433658225583,1.601539453956228
Site 1,5,Female,15,1.8640572473447306,1.9761541194651941
Site 1,5,Female,16,1.753247731949747,2.1800376638107233
Site 1,5,Female,17,1.5645478139918225,1.9403110125914282
Site 1,5,Female,18,1.7854548935026617,1.7647735818702308
Site 1,5,Male,19,1.8384172664590372,2.298066002526225
Site 1,5,Male,20,1.2088053825484422,1.6616245303448889
Site 2,1,Female,1,1.2251711985128535,2.126296432158774
Site 2,1,Male,2,0.3598889209736962,1.757642580104592
Site 2,1,Male,3,0.866172036260993,1.2409500197248429
Site 2,1,Male,4,0.12897110400684775,1.6684871752185053
Site 2,1,Female,5,1.1572986174427102,1.7352337934312607
Site 2,1,Female,6,0.46639956185297277,1.8222469987951484
Site 2,1,Female,7,0.42977986008415625,2.0267092690628985
Site 2,1,Female,8,0.9369541274271946,2.1412567550818085
Site 2,1,Female,9,0.8422675638782312,1.4801340240175922
Site 2,1,Female,10,0.777090315068468,1.783535955480654
Site 2,1,Male,11,0.6677010754274719,2.2849104491096757
Site 2,1,Male,12,0.9400253731609662,2.162957161268642
Site 2,1,Male,13,0.8896460142984206,2.3292982016661767
Site 2,1,Female,14,1.1613495761438242,1.9313975845680227
Site 2,1,Male,15,0.9162635495063031,2.0836784045004597
Site 2,1,Male,16,0.26336180386051833,1.826832692598762
Site 2,1,Male,17,0.7662482687735248,2.2757412528953407
Site 2,1,Female,18,0.22312252110409825,1.3142954366497617
Site 2,1,Male,19,0.31923055681064055,1.915413554675852
Site 2,1,Female,20,0.9707287230101856,2.044359161488638
Site 2,2,Male,1,0.7793304468339205,1.5603664548013982
Site 2,2,Female,2,0.7201213991044878,1.7126382915721676
Site 2,2,Male,3,0.3621388286172018,1.9303594574092446
Site 2,2,Female,4,1.2056864767056732,2.2484422601617444
Site 2,2,Male,5,1.5019029598055977,2.180499865434915
Site 2,2,Male,6,-0.25708206199612227,1.9215250739734429
Site 2,2,Female,7,1.6178462324583762,1.7204911301150796
Site 2,2,Male,8,0.9586780782128751,2.268578424318744
Site 2,2,Female,9,-0.07103135805351846,1.8571352740650484
Site 2,2,Female,10,0.5339978458866184,2.1749939550858146
Site 2,2,Male,11,0.6398385367633805,2.118345664227247
Site 2,2,Female,12,1.1013121820308727,2.100157143733315
Site 2,2,Female,13,1.0660877332760446,1.594051145639063
Site 2,2,Female,14,1.3517147214198024,2.4007222798269283
Site 2,2,Male,15,1.7031607195356355,2.667548370181626
Site 2,2,Male,16,0.99260681816592,1.5050915353485654
Site 2,2,Male,17,0.6448233208196477,1.9846877667852525
Site 2,2,Male,18,1.5978932307885545,2.2780938172877336
Site 2,2,Male,19,0.14250191791994282,2.1221675402674505
Site 2,2,Female,20,1.2352494744867348,1.8530584506990861
Site 2,3,Male,1,0.7371423100572461,1.7110847187787177
Site 2,3,Male,2,1.5459880767871628,1.9411425643801123
Site 2,3,Male,3,0.5663479732791404,1.5327629647184386
Site 2,3,Female,4,0.9925587529304823,2.456028733075148
Site 2,3,Female,5,0.8252759150766199,1.761653515168591
Site 2,3,Male,6,0.9362558416906601,1.8860397888768745
Site 2,3,Male,7,0.412226457609905,1.6913073793600832
Site 2,3,Male,8,0.5140093088485456,2.168690209343086
Site 2,3,Male,9,0.40199153858646025,1.520661557261371
Site 2,3,Female,10,0.585461556344815,1.8157976070029207
Site 2,3,Female,11,0.023701835772182878,2.2377460963445386
Site 2,3,Female,12,1.1061944222301954,1.7958138654725748
Site 2,3,Female,13,1.1891077286834213,2.1493666311463575
Site 2,3,Female,14,0.23917095349208795,1.6097154774754987
Site 2,3,Female,15,0.7917097803643355,1.8105245123118285
Site 2,3,Female,16,0.5037095242491486,1.8773905102295656
Site 2,3,Male,17,0.7479049190746495,2.169551200694879
Site 2,3,Male,18,0.5224611874887297,2.1341194222298503
Site 2,3,Male,19,0.3350448163192142,2.336558460647657
Site 2,3,Male,20,0.9328889044670701,2.095414006075092
Site 2,4,Female,1,1.2482556092591954,1.7796105911987006
Site 2,4,Female,2,0.09732603275306118,2.382927891380444
Site 2,4,Male,3,1.166364690096804,2.081456491770026
Site 2,4,Female,4,0.436774152856723,1.4210648388528102
Site 2,4,Male,5,0.764744472480272,1.4981580825235548
Site 2,4,Male,6,0.9735393124705002,2.4548858674953538
Site 2,4,Male,7,0.7068326490562868,1.9135675025193297
Site 2,4,Female,8,1.1679054647760796,1.4506401006665157
Site 2,4,Female,9,0.5330665290365293,1.2132709448609762
Site 2,4,Male,10,1.4988862445995728,1.9262692823236882
Site 2,4,Male,11,0.9817616911888052,1.6588712328494049
Site 2,4,Female,12,0.16930190541730517,2.0947993260727964
Site 2,4,Male,13,-0.005455865602169929,2.079694127764527
Site 2,4,Female,14,0.5465902950714998,1.784371529182428
Site 2,4,Male,15,1.249386277712405,1.7769890060993567
Site 2,4,Male,16,0.3829250452016272,1.8514330306747215
Site 2,4,Male,17,1.3980752035748285,1.8836995491479596
Site 2,4,Male,18,0.8123157962667181,1.6623031727057906
Site 2,4,Male,19,1.0771354236259953,1.7483360931096399
Site 2,4,Male,20,1.4763882052284085,1.7254461369589442
Site 2,5,Male,1,-0.0328630424830022,1.8537649929762812
Site 2,5,Male,2,1.2135138938889491,1.895130227282647
