Site,Tree #,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989
FL - Apalachicola National Forest - Compartment #222 East of highway US-319 at Munson Slough,1,16.7,16.7,16.7,16.7,,16.5,17.4,17.4,,,,,,,,,,,,,,,15.3,,,15.2,14.8,14.8,14.9,,,,,,,
FL - Apalachicola National Forest - Compartment #222 East of highway US-319 at Munson Slough,2,13.9,16.9,17.0,17.0,,16.7,17.2,17.2,,,,,,,,,,,,,,,15.4,,,15.0,15.0,13.8,15.0,,,,,,,
FL - Apalachicola National Forest - Compartment #222 East of highway US-319 at Munson Slough,3,15.5,15.5,15.4,15.5,,15.3,15.3,15.3,,,,,,,,,,,,,,,14.3,,,14.0,13.8,13.3,15.6,,,,,,,
FL - Apalachicola National Forest - Compartment #222 East of highway US-319 at Munson Slough,4,12.4,missing,12.5,12.5,,12.5,12.6,12.6,,,,,,,,,,,,,,,11.7,,,11.5,14.9,13.6,11.3,,,,,,,
FL - Apalachicola National Forest - Compartment #222 East of highway US-319 at Munson Slough,5,15.1,15.1,15.2,15.0,,14.9,15.2,15.2,,,,,,,,,,,,,,,13.3,,,13.2,13.4,13.2,15.8,,,,,,,
FL - Apalachicola National Forest - Compartment #222 East of highway US-319 at Munson Slough,6,15.4,16.4,15.2,15.2,,15.3,15.3,15.3,,,,,,,,,,,,,,,13.9,,,13.6,14.4,14.7,12.1,,,,,,,
FL - Apalachicola National Forest - Compartment #222 East of highway US-319 at Munson Slough,7,15.4,15.4,15.4,15.3,,15.2,15.3,15.3,,,,,,,,,,,,,,,14.4,,,14.3,14.1,,13.1,,,,,,,
FL - Apalachicola National Forest - Compartment #222 East of highway US-319 at Munson Slough,8,15.9,15.9,15.9,16.0,,15.8,16.0,16.0,,,,,,,,,,,,,,,13.6,,,13.5,16.5,,13.3,,,,,,,
FL - Apalachicola National Forest - Compartment #222 East of highway US-319 at Munson Slough,9,16.3,16.3,16.3,16.4,,16.5,15.4,15.4,,,,,,,,,,,,,,,14.9,,,14.6,12.9,,14.2,,,,,,,
FL - Apalachicola National Forest - Compartment #222 East of highway US-319 at Munson Slough,10,17.0,17.0,17.0,16.9,,16.9,17.0,17.0,,,,,,,,,,,,,,,16.0,,,15.6,,,14.4,,,,,,,
FL - Apalachicola National Forest - Compartment #222 East of highway US-319 at Munson Slough,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7,,,,,,,
FL - Apalachicola National Forest - Compartment #222 East of highway US-319 at Munson Slough,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6,,,,,,,
FL - Apalachicola National Forest - Compartment #222 East of highway US-319 at Munson Slough,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
