Site,Year,Cone Production,Failed Crop,Poor Crop,Fair Crop,Good Crop,Bumper Crop,Notes
Southern Region (R-8),1966,1,1,,,,,
Southern Region (R-8),1967,65.1,,,,1,,
Southern Region (R-8),1968,7.2,1,,,,,
Southern Region (R-8),1969,11,,1,,,,
Southern Region (R-8),1970,11.7,,1,,,,
Southern Region (R-8),1971,16.8,,1,,,,
Southern Region (R-8),1972,26.8,,,1,,,
Southern Region (R-8),1973,67.4,,,,1,,
Southern Region (R-8),1974,7.7,1,,,,,
Southern Region (R-8),1975,23.2,,1,,,,
Southern Region (R-8),1976,7.9,1,,,,,
Southern Region (R-8),1977,26.4,,,1,,,
Southern Region (R-8),1978,2.9,1,,,,,
Southern Region (R-8),1979,7.8,1,,,,,
Southern Region (R-8),1980,18.3,,1,,,,
Southern Region (R-8),1981,11.1,,1,,,,
Southern Region (R-8),1982,4.8,1,,,,,
Southern Region (R-8),1983,30,,,1,,,
Southern Region (R-8),1984,37.2,,,1,,,
Southern Region (R-8),1985,7,1,,,,,
Southern Region (R-8),1986,28.2,,,1,,,
Southern Region (R-8),1987,65.2,,,,1,,
Southern Region (R-8),1988,8.8,1,,,,,
Southern Region (R-8),1989,6.9,1,,,,,
Southern Region (R-8),1990,38.8,,,1,,,
Southern Region (R-8),1991,43.5,,,1,,,
Southern Region (R-8),1992,35.5,,,1,,,
Southern Region (R-8),1993,52.3,,,,1,,
Southern Region (R-8),1994,27.5,,,1,,,
Southern Region (R-8),1995,41,,,1,,,
Southern Region (R-8),1996,115,,,,,1,
Southern Region (R-8),1997,17,,1,,,,
Southern Region (R-8),1998,17.4,,1,,,,
Southern Region (R-8),1999,39.6,,,1,,,
Southern Region (R-8),2000,39.3,,,1,,,
Southern Region (R-8),2001,18.3,,1,,,,
Southern Region (R-8),2002,17.5,,1,,,,
Southern Region (R-8),2003,41.9,,,1,,,
Southern Region (R-8),2004,31.6,,,1,,,
Southern Region (R-8),2005,39.5,,,1,,,
Southern Region (R-8),2006,46.3,,,1,,,
Southern Region (R-8),2007,4.7,1,,,,,
Southern Region (R-8),2008,25.1,,,1,,,
Southern Region (R-8),2009,41.1,,,1,,,
Southern Region (R-8),2010,7.8,1,,,,,
Southern Region (R-8),2011,48.1,,,1,,,
Southern Region (R-8),2012,4.5,1,,,,,
Southern Region (R-8),2013,4.2,1,,,,,
Southern Region (R-8),2014,97.8,,,,1,,
Southern Region (R-8),2015,12.4,,1,,,,
Southern Region (R-8),2016,3.4,1,,,,,
Southern Region (R-8),2017,61.9,,,,1,,
Southern Region (R-8),2018,7.2,1,,,,,
Southern Region (R-8),2019,17.2,,1,,,,
Southern Region (R-8),2020,23.9,,1,,,,
Southern Region (R-8),2021,18.6,,1,,,,
Southern Region (R-8),2022,41,,,1,,,
Southern Region (R-8),2023,10.3,,1,,,,
Southern Region (R-8),2024,6.6,1,,,,,
Louisiana (Kisatchie NF),1966,,,,,,,
Louisiana (Kisatchie NF),1967,26.4,,,1,,,
Louisiana (Kisatchie NF),1968,5.8,1,,,,,
Louisiana (Kisatchie NF),1969,10.1,,1,,,,
Louisiana (Kisatchie NF),1970,13.6,,1,,,,
Louisiana (Kisatchie NF),1971,4.8,1,,,,,
Louisiana (Kisatchie NF),1972,8.3,1,,,,,
Louisiana (Kisatchie NF),1973,55.6,,,,1,,
Louisiana (Kisatchie NF),1974,1.9,1,,,,,
Louisiana (Kisatchie NF),1975,,,,,,,
Louisiana (Kisatchie NF),1976,,,,,,,
Louisiana (Kisatchie NF),1977,47.4,,,1,,,
Louisiana (Kisatchie NF),1978,5,1,,,,,
Louisiana (Kisatchie NF),1979,10.6,,1,,,,
Louisiana (Kisatchie NF),1980,67.3,,,,1,,
Louisiana (Kisatchie NF),1981,13.6,,1,,,,
Louisiana (Kisatchie NF),1982,0.7,1,,,,,
Louisiana (Kisatchie NF),1983,94.2,,,,1,,
Louisiana (Kisatchie NF),1984,133.8,,,,,1,
Louisiana (Kisatchie NF),1985,3.8,1,,,,,
Louisiana (Kisatchie NF),1986,60.3,,,,1,,
Louisiana (Kisatchie NF),1987,89,,,,1,,
Louisiana (Kisatchie NF),1988,24.8,,1,,,,
Louisiana (Kisatchie NF),1989,26.6,,,1,,,
Louisiana (Kisatchie NF),1990,46.3,,,1,,,
Louisiana (Kisatchie NF),1991,47,,,1,,,
Louisiana (Kisatchie NF),1992,4.8,1,,,,,
Louisiana (Kisatchie NF),1993,16.2,,1,,,,
Louisiana (Kisatchie NF),1994,118.1,,,,,1,
Louisiana (Kisatchie NF),1995,42.7,,,1,,,
Louisiana (Kisatchie NF),1996,75.9,,,,1,,
Louisiana (Kisatchie NF),1997,11.3,,1,,,,
Louisiana (Kisatchie NF),1998,55.6,,,,1,,
Louisiana (Kisatchie NF),1999,25.1,,,1,,,
Louisiana (Kisatchie NF),2000,8.5,1,,,,,
Louisiana (Kisatchie NF),2001,60.3,,,,1,,
Louisiana (Kisatchie NF),2002,4.5,1,,,,,
Louisiana (Kisatchie NF),2003,34.3,,,1,,,
Louisiana (Kisatchie NF),2004,67.8,,,,1,,
Louisiana (Kisatchie NF),2005,28.9,,,1,,,
Louisiana (Kisatchie NF),2006,19,,1,,,,
Louisiana (Kisatchie NF),2007,15.1,,1,,,,
